sentence,sentiment_rate,prediction
denzel washington man fire actor never leans latest macbeth conjured joel coen sharp deadly dagger,0.0064,1
pope lesbos laments migrants little changed greek refugee camp francis sought restore compassion asylum seekers whose plight called shipwreck civilization,-0.0276,0
even receiving name omicron could spread new york country health care analyst came manhattan anime convention trip shows virus outpaced public health response,-0.0101,0
australia parliament closes doors staff member tests positive,-0.0042,0
anger spreads northeastern india security forces kill civilians eight mine workers shot mistaken ambush soldiers seeking insurgents six protesters died later clashes government forces stoking fears violence restive,-0.0047,0
fatalities reported military truck rams protesters myanmar witnesses said soldiers also fired crowd kicked wounded demonstrators latest series confrontations military behavior infuriated citizens,-0.0093,0
cond nast knows faded glory style anna wintour embodiment glory days magazine dynasty pitching global digital future,0.0209,1
cnn fires chris cuomo new details help gave brother retained respected law firm conduct review terminated effective immediately cable network said saturday,-0.0048,0
never touched murder weapon alabama sentenced die nathaniel woods unarmed three birmingham police officers fatally shot someone else woods black man convicted capital murder role deaths,0.2451,1
alabama death sentence man never pulled trigger new york times documentary examines case nathaniel woods sentenced death role murders three birmingham police officers fatally shot someone else,-0.1685,0
inside terrarium always gardening season winter closes least one place plants still grow terrarium get started,-0.003,0
coffee make poop clear coffee stimulate bowel movement speed effect suggests mediated brain,-0.027,0
carry covid health data smartphone plan safe travels gatherings holiday season simple ways take covid related health data,-0.1186,0
opinion holiday gift giving really worth december materialism feel perfunctory,0.0931,1
new rules hosting holiday party holiday season year cancel everything figuring get groove back,0.1875,1
stomach problems really head scientists often debate whether irritable bowel syndrome mental physical issue much help suffer,0.0531,1
omicron comes uncertainty handle experts share techniques ease mental toll evolving pandemic,-0.0784,0
always sunny rob mcelhenney fxx series always sunny philadelphia become longest running live action sitcom u history energetic star creator wants know next,0.0396,1
colton underwood comes comes clean former bachelor star announced gay national tv april new netflix reality series seeks share journey address criticism,0.049,1
brief guide every sport winter olympics alpine skiing speedskating everything sports part beijing games,0.0625,1
palestinian stabs israeli east jerusalem killed police incident captured videos least fifth knife attack jerusalem since september,0.0314,1
minutes make love organ listen biggest loudest extravagant yet incredibly subtle instrument,0.0026,1
best electronics kits kids beginners tested electronics kits kids ages got feedback parents makers find engaging ways kids learn electronics,-0.3451,0
painter elijah cummings portrait finds career changer baltimore artist jerrell gibbs commissioned paint maryland late representative official portrait installed u capitol,-0.0228,0
gator finds place tailgate alligator long food source louisianians become popular nationally big moment comes annual football matchup baton rouge,0.0568,1
sharing hard money lessons build generational wealth wanting help others communities influencers color taught pay big debts invest developed audiences experience advice,-0.0034,0
black man wins new trial confederate memorabilia jury room tennessee appeals court granted tim gilbert new trial jurors deliberated room named united daughters confederacy,0.1182,1
best tv shows bo burnham lady parts best television year offered ingenuity humor defiance hope,0.069,1
shadow foster care tearing families apart across country unregulated system severing parents children often end abandoned agencies supposed protect,-0.0029,0
around house samantha lewis posted cards scrawled steps reminding tasks daily life one many strategies lewis learned cognitive rehab intensive therapy program fight symptoms long covid,-0.0213,0
celebrate hanukkah workers put finishing touches first giant new york city menorah grand army plaza first candle lit foot menorah following sunday dusk nytarchives hanukkah,0.2937,1
power dog review wild hearts closed frontier jane campion staggering take western first movie decade cruel cowboy meets surprising match,-0.0058,0
u intelligence sees russian plan possible ukraine invasion invasion force could include troops u officials stress president vladimir v putin intentions remain unclear,-0.0695,0
christmas tree questions ask mayor rockefeller center two decades correll jones man ask new york famous tree find public bathrooms,0.0142,1
omicron travel need trip insurance light new variant extra protection warranted things like flight lodging cancellations quarantine hotels depends need know,-0.1351,0
voting battles take shape g p crafts new election bills republicans plan carry push reshape nation electoral system next year democrats vowing oppose holding options g p led states,-0.04,0
money found plumber joel osteen church tied burglary police say discovery revealed plumber called houston radio show thursday,-0.0107,0
variant hunters inside south africa effort stanch dangerous mutations scientists cutting edge laboratory part work local health workers foot rest,-0.0188,0
samba cacha pickled eggs dirty feet bars essence rio cross dive bar greasy spoon rio de janeiro beloved proudly filthy hole wall joints democratic spaces deeply unequal city,0.0584,1
facing economic collapse afghanistan gripped starvation estimated million people half country population expected face potentially life threatening food insecurity winter many already brink catastro,0.0695,1
best santa hats christmas subpar santa hats dominate store shelves found stellar santa hats every price personality,-0.2452,0
stabbed times husband fights laws favoring abusers shira isakov little known israeli working advertising become national force struggle combat domestic violence change legal landscape parental rights,-0.0496,0
english teenager finds bronze age ax using metal detector third day metal detector milly hardwick found hoard items years ago laughing heads said,-0.0104,0
parents michigan shooting suspect arrested police say couple charged officials said son carried shootings using handgun parents bought,0.0221,1
taliban decree end forced marriages afghanistan decree attributed group religious leader calls rights women islamic law say whether women regain easier access education jobs,-0.0963,0
congo ousts mining leader cloud corruption claims country president removed albert yuma mulimbi chairman state mining firm cobalt congo crucial resource global clean energy revolution,0.0132,1
man italy tries get shot fake arm qualify vaccination certificate stratagem latest perhaps original episode vaccine evasion struggle italy government country anti vaccine faction,-0.1478,0
going deep oyster country coastal virginia new york new orleans writer delves history lore surrounding shellfish focus role african americans played years,-0.0931,0
inside sequencing lab front lines america search omicron states finding cases new variant tracking spread experts say key understanding threat poses,-0.1494,0
israeli company spyware used target u embassy employees africa hack first known case spyware known pegasus used american officials,-0.3067,0
federal scrutiny cuomo widens office treatment women justice department opened inquiry reports sexual harassment retaliation former governor administration,-0.0219,0
international television got big boost american consciousness year best international shows according critics,0.1008,1
jackson state prime effect reverberates first full season football coach deion sanders guided tigers conference championship game energized community says getting started,0.0223,1
jury chosen trial kimberly potter officer fatally shot daunte wright many jurors said already seen body camera video ms potter former police officer brooklyn center minn fatally shooting daunte wright seeming mistake gun,-0.0953,0
upstate new york hospitals overwhelmed covid cases surge health care officials say perfect storm new covid cases staff shortages filled nursing homes created crisis,-0.2913,0
mean save neighborhood nine years hurricane sandy residents lower manhattan still vulnerable rising seas fight plan protect reveals progress critical challenges,0.0402,1
u opens civil rights investigation police new york suburb inquiry focus whether mount vernon department engaged pattern practice unlawful policing officials said,-0.0423,0
many new york city hotels sat empty pandemic homelessness continued rise generation chance convert struggling hotels affordable housing none converted happened,-0.1804,0
cognitive rehab one patient painstaking path long covid therapy samantha lewis relearning basic aspects daily life struggling brain fog lingering symptoms year since infected virus,0.0926,1
breaking news parents michigan school shooting suspect charged involuntary manslaughter rare step prosecuting school shootings,0.0787,1
biden administration fighting preserve title trump era rule uses pandemic justify turning back migrants border keep virus spreading u many allowed stay despite rule,-0.1021,0
facing charges parents michigan shooting suspect fugitives prosecutors charged parents year old accused killing four classmates involuntary manslaughter saying failed act troubling signs,-0.0378,0
alec baldwin says responsible fatal shooting rust emotional interview abc news actor asserted someone put live bullet gun,-0.0506,0
know fatal shooting alec baldwin new mexico movie set authorities investigating death cinematographer halyna hutchins set rust santa fe county know,-0.2007,0
new travel rules add pre flight stress people flying u,-0.0239,0
hundreds companies promised help save forests cargill nestle carrefour others pledged reach net zero deforestation supply chains,-0.035,0
favorite books healthy living year well book list includes advice change behavior lower anxiety cope hardship heal poetry,0.2165,1
christmas party norway becomes possible omicron spreading event infected fully vaccinated tested entering restaurant central oslo one traveler south africa carried new variant,-0.2365,0
november jobs report expected show another healthy gain economists looking increase second straight month,0.0917,1
columbia university student dies stabbing near campus graduate student davide giri fatally stabbed near school campus manhattan thursday night,0.067,1
covid treatments coming big deal,0.0059,1
didi moves leave u stock market months huge offering abrupt shift ride hailing giant comes officials washington beijing grown increasingly skeptical chinese corporate access wall street money,-0.0752,0
emphasizing tests biden vows fight omicron science speed president plan shifts away near singular focus vaccination new cases variant emerged united states,-0.1798,0
new zealand biggest city ends day lockdown auckland entered severe restrictions mid august began fighting delta outbreak bars reopened minute midnight moment could,0.0678,1
europe met climate target burning less carbon european union promised reduce emissions percent happen,-0.0292,0
philippine court allows maria ressa attend nobel peace prize ceremony decision came days growing international pressure government allow journalist attend ceremony norway,0.3058,1
ad vaccinated santa drew complaints cleared british regulators commercial supermarket chain tesco depicted santa claus cleared travel,-0.1011,0
ghislaine maxwell brought strict rules epstein home ex employee says never look eyes ms maxwell told workers jeffrey epstein florida estate according testimony sex trafficking trial,0.1191,1
got hook winning lee elder forced golf forward winning way masters tournament first black player laying path tiger woods others,-0.0029,0
california regulators fine pg e million fire pacific gas electric settled claims one transmission lines caused kincade fire,-0.2772,0
cauliflower cauliflower rice,0.0,0
found words spelled seven letters many make forget words must include center letter,-0.1251,0
travelers u count hours get tests back time new travel restrictions announced thursday white house fears spread omicron variant many worrying trips may happen,-0.0197,0
best albums less isolation mean return normalcy albums big feelings room catharsis made powerful connections,-0.0448,0
prior infection little defense virus variant scientists say evidence south africa omicron variant already dominates shows high rate reinfection people already coronavirus,-0.0408,0
used emojis favorite emoji tell us comments,-0.0301,0
new york state confirms five cases omicron variant cause major alarm gov kathy hochul said adding announcing shutdown drastic measures response cases,-0.1127,0
man planted razor blades pizza dough gets years prison one reported injured prosecutors say recall prompted nicholas mitchell tampering resulted nearly losses maine based supermarket chain,-0.0476,0
antonio brown two others suspended n f l faking vaccination status tampa bay buccaneers receiver two players fake vaccination cards violation covid protocols established league players union,-0.4727,0
lawmakers strike spending deal government shutdown still looms even house set thursday vote fund government february senate republicans still threatening force shutdown vaccine mandates,0.005,1
covid vaccines work boosters study suggests comparison seven different brands researchers found shots give strong boost even mix match combinations,-0.0831,0
president biden laid new pandemic strategy includes hundreds vaccination sites aimed families booster shots adults new testing requirements international travelers insurance reimbursement home covid tests,0.0049,1
know kimberly potter trial death daunte wright kimberly potter former minnesota police officer faces manslaughter charges death mr wright called taser taser taser firing gun traffic stop,-0.204,0
police arrest suspect fatal shooting beverly hills philanthropist hour jacqueline avant killed police arrested man accidentally shot foot burglarizing home hollywood,-0.1028,0
consumer goods forum pledged help end deforestation behalf roughly corporate members companies like walmart nestl carrefour vowed eliminate deforestation supply chains happen,-0.0622,0
european union pledged emissions would lower happen,-0.0858,0
one life tell us battle h v u n estimates suggested million people would infected h v preceded ambitious global campaign curb virus well work,-0.0275,0
learn hindsight first series headway new initiative exploring world biggest challenges lens progress followed forecasts decades ago ask time revealed,0.2004,1
millions people got access water drink u n pledged halve proportion world without access clean drinking water,-0.1446,0
un estimates indicated million people worldwide would infected hiv happen,-0.1367,0
new york city sets vaccine mandate religious private school workers directive affects employees may face opposition yeshivas resistance coronavirus vaccines among orthodox jews,-0.0202,0
f c sues stop blockbuster chip deal nvidia arm proposed deal would give nvidia control computing technology designs rival firms rely,0.1568,1
omicron first found san francisco san franciscan flew home south africa last week became first u case new coronavirus variant,-0.0701,0
shipping terminal kansas reveals fundamental problem global supply chain disruption one plan one sure happen next,-0.1507,0
anti vaccination ad mysteriously appears n c bus stop city officials said ad contained false information seen bus stop brooklyn authorized later removed,0.1252,1
u found omicron cases genomic surveillance improved enormously recent months system built delays blind spots remain,-0.1286,0
historic jackson heights astoria waterfront chicago transplant considers queens two children landed new york city midwestern doctor took budget queens two bedroom apartment close one would choose,-0.1071,0
biden vows fight omicron science speed chaos confusion new strategy includes insurance reimbursements home tests stricter rules international travelers omicron variant circulates countries,-0.1115,0
abortion never thought ending pregnancy instead erased future imagined,-0.0623,0
journalist philosophy major mad scramble video game consoles new gaming consoles remain short supply holiday season spawning cottage industries tipsters scalpers making money scarcity,0.0456,1
year emojis tears joy prevailed used emoji despite gen z stated contempt,0.0256,1
michigan killings students praised shooter drills really work oxford high school held repeated trainings handle gunman school critics questioning purpose,0.074,1
nathaniel woods sentenced death role murders three birmingham alabama police officers shot someone else new documentary fx hulu examines woods pull trigger punished,0.0602,1
tips avoiding surprise virus test bills experts worry omicron variant could seed new coronavirus wave would probably mean lot surprise bills,-0.2522,0
former ohio deputy charged murder shooting columbus man former deputy jason meade member fugitive task force shot casey goodson jr target operation according indictment faces two murder,-0.1041,0
omicron detected mainland france delta wave bigger concern,-0.021,0
meghan wins legal battle mail sunday appeals court rejected bid force trial duchess claim tabloid violated privacy publishing anguished letter sent estranged father,0.0866,1
teenagers getting six figures leave high schools basketball new pro league overtime elite luring young phenoms hefty salaries viral success perhaps better path n b,-0.1807,0
pope francis heads cyprus aiming highlight plight migrants even world focuses new coronavirus variant francis embarking trip incorporates longstanding priorities like opening borders welcoming destitute,-0.0061,0
supreme court considers future roe far court conservative majority go deciding future abortion america,-0.1488,0
french election looms candidates stake tough positions migrants france fewer immigrants rich nations politicians hardening positions immigration even countries compete migrant workers,-0.0939,0
biden winter covid plan includes insurance reimbursement home tests new strategy includes stricter rules international travelers comes worrisome omicron variant circulates countries,-0.0131,0
fans china elude censors talk peng shuai first celebrity scrubbed internet supporters finding creative ways voice frustration,-0.0357,0
alec baldwin says pull trigger rust killing actor said brief excerpt upcoming interview abc news pulled trigger gun holding went killing cinematographer,-0.1746,0
israeli doctor omicron met dozens people one tested positive days leading positive test elad maor interacted people far one contact tested positive,-0.1424,0
looking amy winehouse years death amy beyond stage design museum london explores tries somewhat reframe back black singer life legacy,0.0086,1
twitter facebook hit back chinese propaganda campaigns social media giants removed large number accounts promoted covid conspiracy theories undermined reports human rights abuses,-0.0867,0
planned parenthood says hacker compromised information patients group los angeles affiliate said know responsible ransomware attack believe information used fraudulent purposes,-0.1423,0
pressure privilege max scherzer introduced mets baseball highest paid player praised team owner willing spend make team better,-0.2314,0
dinosaur found chile battle ax tail ankylosaurs already known armor club tails specimen south america unique way fighting predators,0.0922,1
woman sued walmart shoplifting arrest awarded million lesleigh nurse said wrongfully accused stealing groceries walmart semmes ala retailer said would appeal verdict,0.1639,1
emma coronel aispuro es sentenciada tres os de prisi n la esposa del chapo guzm n dijo sentir un sincero arrepentimiento en la audiencia le pidi al juez que fuera tan duro con ella en junio se declar culpable de ayudar su marido ingresar,0.1584,1
know injured oxford high,0.0847,1
opinion counter omicron covid treatments must cheap accessible world must repeat history making covid drugs inaccessible,-0.1751,0
roberts searches middle ground abortion case chief justice known incremental approach contentious issues explored wednesday whether court could uphold mississippi law without totally throwing roe v wade,0.0276,1
days cookies recipes new york times cooking sure make holidays bright,-0.0467,0
biden said extending mask mandates travel march,0.107,1
dr anthony fauci said first case omicron variant reported u vaccinated traveler returned california south africa,-0.1034,0
marcus lamb christian broadcaster vaccine skeptic dies covid mr lamb co founded daystar television network repeatedly suggested air people pray instead getting vaccinated,-0.1091,0
white house honors worldaidsday,0.0288,1
lula prepara un regreso convencer brasil el expresidente brasile luiz cio lula da silva ha logrado dejar atr una serie de acusaciones de corrupci n encabeza la lucha por la presidencia del entrante,0.2064,1
coronavirus travel tiny airborne drop water scientists created detailed simulation find,-0.0228,0
skeptical sondheim agreed change company days died stephen sondheim director marianne elliott chatted broadway revival musical gender swap different flavor said,0.0512,1
films lead biggest best picture race years epics like west side story biopics like king richard contention oscar voters plenty choices category set slots,-0.0872,0
year winner turner prize group performs protest belfast based array collective stages carnivalesque interventions political rallies group britain major art award,0.184,1
justice clarence thomas asked constitutional right abortion saying spelled way second amendment liberty honor julie rikelman litigation director center reproductive rights replied,-0.0835,0
correction earlier tweet misidentified responded justice thomas whether constitutional right abortion julie rikelman center reproductive rights elizabeth prelogar u solicitor general deleted incorrect tweet,-0.0409,0
aiden page senior oxford high school detroit suburbs described happened student opened fire tuesday year old sophomore custody rampage killed least four students wounded seven people,0.0846,1
tracking omicron coronavirus variants see countries reported cases omicron variant,-0.2407,0
first omicron case detected u much remains unknown new variant coronavirus cases detected countries experts said matter time variant showed,-0.0398,0
c c tells airlines disclose details passengers recently southern africa agency said issuing directive prevent importation spread communicable disease public health importance apparent reference new omicron variant,0.0829,1
live updates supreme court hear arguments mississippi abortion law arguments set begin eastern new york times streaming live providing context analysis,0.0734,1
w h members agree begin talks global pandemic treaty agreed set intergovernmental negotiating body meet later march begin negotiating international agreement intended ensure coherent equitable,0.2974,1
say omicron unlike alpha beta delta name latest known variant straightforward english speakers offering diverse pronunciations,-0.1086,0
baby tate turns hate positivity rapper shamed revealing outfit afropunk atlanta stopping,0.0,0
alito career long history opposing abortion rights,-0.0271,0
justice sonia sotomayor said justices years since casey reaffirmed basic viability line referring planned parenthood vs casey said states could impose undue burden right abortion,0.1325,1
discredited dossier undercut russia investigation donald j trump backers say revelations steele dossier show russia investigation hoax facts indicate,0.0845,1
trust science scientists increased globally poll finds international survey found pandemic enhanced public faith researchers science,-0.0923,0
live updates year old custody michigan school shooting kills sophomore arrested handgun father bought four days attack eight people injured,0.0602,1
britain theatergoers cover months without masks encouragements mask hardening mandates new rules coming playhouses government,-0.013,0
josh duggar kids counting goes trial child pornography case prosecutors say mr duggar used internet download explicit material showing sexual abuse children faces years prison convicted,0.0314,1
students killed michigan school shooting year old sophomore taken custody semiautomatic handgun bought father four days fatal shooting,-0.0529,0
amazon labor shortage economic moment means company people work,-0.1089,0
next challenge vaccinating africa overcoming skepticism vaccines finally available many african countries people well south asia wary taking,-0.1428,0
china buying toy gun could get arrested san cheng bought toy guns online props video game design police arrived jailed china strict messy gun laws,-0.2378,0
police officer women killed atlanta area suspect shot killed exchange gunfire officers responding domestic violence call police said year old boy officer also injured,0.027,1
accuser describes maxwell epstein ensnaring abusing second day ghislaine maxwell trial woman accused ms maxwell befriending girl join sexual abuse followed,-0.0086,0
e u interpreter says greece expelled turkey migrant roundup man story echoes complaints human rights groups greek authorities often expel asylum seekers indiscriminately violently,-0.1307,0
nation first supervised drug injection sites open new york first official day operation two manhattan facilities trained staff reversed two overdoses officials said,0.0001,1
watch christmas tree lighting rockefeller center christmas tree lit wednesday star studded ceremony open public first time since,-0.0649,0
prosecutors push elizabeth holmes theranos take responsibility cross examination founder failed blood testing start defended admitted made mistakes,-0.0569,0
pronounce omicron anyway single agreed english pronunciation experts say,-0.0272,0
omicron variant least nations spread earlier known evidence growing worrisome new coronavirus variant highly contagious health officials issued warnings vulnerable people travel,-0.0923,0
one afraid go school michigan governor says gov gretchen whitmer said school shooting michigan every parent worst nightmare,-0.0313,0
biden administration said looking ways toughen coronavirus testing screening people flying u concerns omicron variant continue grow,-0.0592,0
years overdue book returned library idaho unclear checked new chronicles rebecca kate douglas wiggin library boise decades book remained immaculate shape,0.1229,1
times editor attended oxford recalls decade old shooting drill three teenage students killed tuesday school district graduated,-0.0875,0
detectives work trace live rounds got rust film set investigators trying determine whether supplier supposed provide movie blanks dummies may sent live rounds,-0.0007,0
school shootings becoming frequent lull pandemic deadly gunfire oxford mich added one episode growing list fatal shootings school property united states year,0.0816,1
california ban high capacity magazines restored appeals court overturning district judge decision may also lead reinstatement state ban semiautomatic weapons,0.2223,1
cnn suspends chris cuomo details emerge help gave brother cable news network top rated anchor enthusiastic adviser andrew cuomo last months governorship,-0.0346,0
cnn suspends chris cuomo new details help gave brother cable news network top rated anchor enthusiastic adviser andrew cuomo last months governorship,-0.0501,0
serve classic latkes hot make think need go fast night hanukkah,-0.061,0
dead believed students year old sophomore taken custody firing semiautomatic handgun times oxford high school oakland county mich authorities said dead believed,-0.0019,0
tech titans bored empires searching new frontiers jack dorsey departure six years twitter chief executive hints little fun titans tech seem,-0.1373,0
opinion kind dog dna tell much mysteries even genetic science explain,0.0021,1
dr oz says running senate pennsylvania dr mehmet oz running republican open senate seat described frustration arrogant closed minded people charge shut schools businesses,0.2939,1
omicron known still unknown intense research new coronavirus variant first identified southern africa begun world leaders urged people panic get vaccinated,-0.1068,0
popular israeli hanukkah treat may widely recognized fragrant jelly doughnut become sweet symbol jewish holiday,0.035,1
janet yellen still supports plan make banks give r new customer data think important r visibility opaque income streams treasury secretary said,0.0106,1
go chaos rules global response omicron variant almost two years pandemic finger pointing lack coordination sparse information fear influencing policy,-0.1813,0
el chapo wife sentenced years prison emma coronel aispuro pleaded guilty june helping husband joaquin guzm n loera smuggle drugs united states escape prison,-0.0159,0
lionel messi wins record seventh ballon paris st germain star capped year led argentina copa rica title edging bayern munich robert lewandowski,-0.0706,0
takeaways first day ghislaine maxwell trial coming weeks jurors expected hear testimony four women prosecutors say jeffrey epstein exploited sex ms maxwell help,-0.063,0
epstein longtime pilot said never saw sex acts underage girls financier planes,0.0444,1
million gift met museum jump starts new modern wing donation trustee oscar l tang wife agnes hsu tang reinvigorates long delayed project largest capital gift met history,0.0465,1
investors snap metaverse real estate virtual land boom transactions properties digital realms jumping guided principle physical world location location location,-0.0277,0
churches baptism returning informal roots performing age old christian ritual relaxed casual style conveys grandmother church one pastor said,-0.0038,0
barbados formally casting queen becomes republic island nation swore first president ending nearly years british rule prince charles rihanna hand witness ceremony,0.0235,1
hospitals new delhi capital earlier wave driven part delta variant shook health care system asked remain high alert,0.0552,1
opinion kyle rittenhouse travis mcmichael problem self defense guns matter whose hands create standoffs intimidation death justified eyes law,0.0326,1
jerome powell janet yellen testify economy federal reserve chair janet yellen appearing senate banking committee,0.0327,1
supervised injection sites drug users open new york city manhattan facilities provide clean needles administer medication reverse overdoses provide users options addiction treatment,0.3177,1
money value frustration rises turkey lira crisis president recep tayyip erdogan insistence directing monetary policy sticking low interest rates draining confidence economists say,-0.0453,0
shower bus helps without access people without regular access bathing find help brooklyn community services shower bus,-0.0686,0
panel fda advisers vote whether recommend authorizing merck antiviral covid pill known molnupiravir high risk patients endorsed agency could authorize drug within days making available u soon,0.0611,1
eurozone inflation hits record high percent driven soaring energy costs annual rate november highest since,-0.0084,0
counterfeit covid masks still sold everywhere despite misleading claims rising covid cases spurred return mask wearing u overseas time flawed kn china continue dominate e commerce sites,-0.0742,0
two cases omicron variant detected netherlands week ago dutch officials said announcement suggests variant already reached europe countries rushed impose travel limits,-0.0948,0
know omicron variant world health organization declared version coronavirus poses high risk public health come conclusion,-0.0677,0
china tesla catfish turns auto companies sharks electric car company helping chinese companies become global players emerging industry posing competitive threat traditional rivals,-0.2219,0
owns recipe plagiarism claim cookbook authors asking u copyright law protects kinds creative material recipe creators mostly powerless age business sharing,0.0084,1
trevor noah covid turned planet frat house latest covid variant omicron follows alpha lambda delta greek alphabet,-0.0362,0
dutch police arrest couple fled quarantine boarded plane one pair tested positive coronavirus arrived flight south africa quarantined hotel,-0.0145,0
latest assault dissent egypt convicts human rights activist hossam bahgat avoided prison term receiving relatively modest fine verdict appeared designed intimidate dissidents without risking international opprobrium,0.032,1
