words,sentiment_coeff
beijing,0.9966059049098477
also,0.9989788185144849
rules,-0.9902924985160267
court,0.9969401802188573
supreme_court,-0.9901399885398032
cases,-1.0073913342916372
must,-1.0146884035126518
myanmar,-1.004672270976414
delta,0.995998856079001
new_coronavirus,1.008022718477621
million,-1.0298857698935404
countries,-1.0175985410275732
emissions,-1.003780829875626
later,1.001905871905187
arrested,-1.0111293827709715
access,-0.9992931866715175
star,-1.0042879262279079
making,1.0055097790982148
biden,1.022014578520568
biggest,1.0140581252738368
much,1.006083365082602
american,-0.9912027510038297
vaccinated,-0.9941732130397788
shows,-1.0038960910335661
shooting,-1.0101492561018672
scientists,-1.0021712681219193
book,0.9959865817241844
day,-0.9930522174697859
governor,1.006370833770675
winter,-1.0057003245000864
staff,-1.0196496978140124
least,0.9995564196274958
leave,-0.9936075597829489
police_officers,-1.0241646093295453
end,-1.0271828093484272
killed,-1.0267717518466604
ways,-0.9903936147497809
asked,0.9938924655560136
share,-1.0198734724557077
chris_cuomo,-1.000365854369385
season,1.0008266980230902
inside,-1.0342826741423348
help_gave,1.0378083932183204
murder,0.9986571137792439
drug,1.0069611693416531
ago,1.009811966531279
little,-1.0252031217284092
migrants,-1.0258478867773169
coming,-1.0019113425605748
california,-1.0149477747848321
near,-0.987638246598431
member,1.0066227404615502
wave,-1.0039391668472086
fire,-1.011187823886503
saying,-1.0227902948296501
house,0.9906280294109278
ousted,1.0193861327495446
reported,-1.0094905731878905
suu_kyi,1.0124976927882203
series,1.0208365448363967
future,-0.9928797550957729
aung_san,1.004234434903992
capital,1.0068785504829343
four,1.002658450527464
un,-1.0127555536592865
accused,-1.0072495681007392
fatal_shooting,1.002063170455145
thursday,-0.9996008355280831
tuesday,1.0148947979328156
might,1.002444393385007
putin,1.019786462000695
charged,-1.0076513023254106
expected,1.000875666922396
change,1.0122785342600473
oxford_high,0.9985163331732058
long,1.003532441402012
way,0.9971407475399283
crisis,-1.0112655623442544
information,-1.0320110454724305
battle,1.01573395361129
booster,1.0108595941452494
detected,1.0202236897753403
rust,-1.0099141725349898
social_media,1.0228050315848878
suggests,-1.0204879526015584
companies,-1.0097680356558898
pledged,-1.0010577267300562
children,1.0193431336340584
senate,1.0065919562535557
players,-1.0219815508079182
months,-1.013126207437112
ceremony,1.021973436863682
challenges,1.0044223785482445
growing,1.0073665787576613
n,-1.001223274727951
jeffrey_epstein,-1.026384362066176
called,-0.9985109630167825
story,1.0076410905964395
possible,-1.0065983259756834
next,-1.0033837237700856
clean,-0.9888584003011289
part,1.014132393820678
kids,-1.005305081369078
parents,1.00428513633077
find,-1.000684196040623
attack,-1.0086543665424565
finds,0.9988062871776292
player,-1.0272526518435803
la,0.996545323161511
less,1.0174579926224265
new_variant,-1.033959454582195
hanukkah,1.0102830107055736
made,-1.0049846284201445
injured,1.014935336987199
record,-1.0166983078913903
officials,-1.0121216562804716
go,-1.0210204800771554
remain,-0.9941807929959257
twitter,-1.0093933629118257
public,-1.033922878912429
weeks,-0.9933530141908467
test,0.9938747795380873
travelers,-1.0024489655820723
vote,-1.008244443598422
therapy,-1.0226137238841555
new_details,-1.0074187916331974
men,1.0001331106569333
see,-0.9953032000282107
include,-1.0075042803636969
turned,0.9964563479583047
ban,1.0054099417996174
week,-1.0096249957359875
march,1.0086171207909338
show,1.006881647517009
homes,1.009574796445756
assault,-1.0029537162720934
unclear,-1.0060923482787847
effect,1.0008601181952648
perhaps,-1.0213315198729427
powerful,1.0121643956569746
firm,-0.9996890729972079
trump,1.0227247916699025
republican,-1.0073216777485094
trump_media,1.000451149899971
es,0.9876270443356031
reports,-1.001149381323467
among,-1.0062097557808094
researchers,1.0151069022933807
sexual,1.0001767356405757
inquiry,1.0104650740417769
firing,-1.0161868091510513
cnn,-1.0075829999929982
spreading,-1.0093885248891028
closes,-1.0188580333815616
claim,1.0170560607788037
democracy,-0.9959282197040307
cause,1.000354252277607
better,-1.0156324557549674
washington,0.9950759687107652
users,1.0059494482133127
christmas,-1.0018189769164194
chaos,1.0007249907116513
masks,1.0158154614333514
europe,1.0194725659269939
call,1.0024124713639528
win,1.0239046779349945
france,-1.0252184936165432
hear,-1.001901985905578
far,-1.009639142386733
another,1.0176285802622713
verdicts,-0.9933991418816265
talks,1.0127814061484772
janet_yellen,-1.011284168894401
una,0.9900971418409837
authorities,-1.001702168926725
suspect,1.0020101539890494
fighting,1.0050652101913646
rule,-1.0264372422607007
despite,0.990826456939832
prosecutors,-1.0173448588631115
killing,-1.0164417143507558
alec_baldwin,1.0055107669876724
santa,-1.0322874569516887
el,-1.0059469620892092
well,1.006097498802882
looking,1.0057637299388213
second,-1.0257400290506844
student,1.0223975953789637
chinese,-1.005116839253427
united_states,-1.0180530016102374
decision,1.005337855643656
path,1.0005502957827495
lower,1.0113818778372816
mean,-1.003786233034351
brooklyn,-1.0043705379812622
parents_michigan,0.9795619197724021
congo,1.000661402327275
mining,-1.0255140271309864
claims,-1.0137063915770512
removed,1.007525127257167
energy,-1.0005715768848673
focus,-1.0171109366025648
african,-1.016546202509455
america,-1.0144228642004511
target,-1.0279882983218285
according,1.0222583889382704
getting,-0.989985801501726
kimberly_potter,0.9964068145198185
daunte_wright,1.0104671871137598
police_officer,1.0052391961211873
ad,1.0030327544087385
epstein,1.0007210026970883
ms_maxwell,-1.0061403088679735
michigan,-1.0073870873467148
casey,1.0129572420965456
father,0.9978270887659164
internet,1.019840496886929
frustration,-1.0224829214348008
tested_positive,0.9962869514372618
human_rights,-0.9989412395071822
team,-1.0112382137378497
verdict,1.0115122115375894
mask,1.005780389283007
dr,1.0163158116660675
agreed,1.0019678599455726
earlier,1.0172781441780037
begin,0.9979527030513471
science,-1.00491965887636
prison,1.0060380691260922
students,-1.0205128233305152
c,1.0070060498609157
sex,-1.0112557365632866
water,1.0009396140049447
e,-1.0068707810261948
seven,-1.0034196029863915
albums,-1.0103116693026215
cases_omicron,-1.0275201914406276
major,1.0106837475666488
shutdown,-1.011265750909556
prosecutors_say,-0.9993743976151118
league,-0.9987216387854148
mandates,-1.0100168111489167
vaccines,-1.0114803357112525
give,0.9953122133473249
international_travelers,-0.9921372942048612
faces,-1.0048254405274082
walmart,1.0217258474451276
time,1.0040444242903157
age,-1.0165400478863302
english,-1.0262495798579812
santa_hats,1.002794135532094
shape,1.002310166538667
election,0.9849072588902416
power,0.9972863661925897
struggle,1.010715543095733
co,-1.0010992596595565
prime,-1.0175048356718208
gifts,-1.0186561973627886
books,1.0152832615035465
provide,1.0061201597369598
national,0.9915207280732242
threatening,1.006984700278715
invasion,1.0142908864275133
actor,1.0099038310451398
greek,1.0076876244510111
francis,1.0075120378755884
name,-1.0219215672614246
nations,-1.0058414948242314
huge,1.008857942908746
manhattan,1.0042463847953695
career,-1.0124441037072844
three,-1.0164241912152931
released,-1.0043649756957356
christian,1.0141443808609212
tesla,0.9998851724401174
chief_executive,-1.001381499561364
employees,1.000652602766656
restaurant,-1.0115682777947246
officers,1.0235419997327186
members,1.0124974882721411
sentenced,-1.0048054849758272
line,-1.0047922582016278
face,1.010115099298716
hundreds,1.0048951504931867
live_updates,1.0017352228721383
ending,-0.9959165425126957
health_care,-1.005518602015686
trip,1.0263347218593109
million_people,-0.9912301124448097
wins,-0.994769397555637
room,1.0072821324213574
appeals_court,1.016990284044307
jurors,-1.0019212196373495
television,-1.0193429310851267
foot,1.0110928042786937
movie,-1.0034934398546234
christmas_tree,1.0032040804190512
ask,1.014351141109393
decades,1.0147965324199837
need,-0.9995916787107297
flight,1.0035787248927526
hotels,-0.9987406482757274
bills,-1.011255917281667
push,0.9906844646162759
nation,0.99345911099309
jury,1.0020292825935646
moment,-1.0024926941054662
public_health,-1.0159443321437946
every,0.9943960744748006
response,-1.0204278677576386
six,-1.017799610343847
died,-0.9902078445723123
alabama,1.0117202318374476
nathaniel_woods,-1.0245336054856633
three_birmingham,1.0023199504092806
fatally_shot,0.9893695415469959
woods,1.012041522847893
holiday_season,1.0022015772448511
holiday,1.0155220055673126
really,0.9984867603034281
often,-1.0111323271449373
experts,-1.0200276110849218
running,0.9994353724560632
live,1.0030400662691035
includes,1.018383465112404
